na	830
e	346
ni	342
mai	223
dua	146
ka	139
viti	127
sa	118
ena	97
me	94
kei	76
ko	73
i	72
kina	66
siti	64
kau	58
vu	57
vei	56
yanuyanu	53
ira	53
a	40
oqo	40
ra	40
ivola	38
levu	38
vanua	37
o	35
manumanu	35
era	33
kena	32
se	32
lotu	29
ga	29
tiko	28
tabu	28
sega	27
nona	26
ki	25
ika	25
tamata	25
astronidium	25
josefa	24
jisu	24
matanitu	23
karisito	23
turaga	22
tale	22
tu	22
vuka	21
ia	21
koro	20
koya	20
gauna	20
kalou	20
mo	20
nodra	20
	19
bula	19
the	19
vosa	18
vakabauta	18
aglaia	18
kakua	18
vola	18
dau	17
momani	17
nai	16
sara	15
dina	15
dodonu	15
tini	15
rawa	14
eso	14
isireli	14
kai	14
veika	14
vaka	14
tui	13
au	13
yaco	13
sucu	12
taucoko	12
talega	12
da	12
vua	12
brazil	12
yabaki	11
nomu	11
veiyalayalati	11
nei	11
ai	11
simici	11
raica	11
qai	11
of	11
toy	10
story	10
kalougata	10
rua	10
television	10
bsk	10
baleta	9
rt	9
ratu	9
nadi	9
vuravura	9
vuqa	9
vuli	9
ice	9
age	9
ca	9
keimami	8
va	8
bau	8
shrek	8
vou	8
so	8
gone	8
balaka	8
solia	7
sai	7
noda	7
ijipta	7
cakacaka	7
liu	7
tukutuku	7
to	7
rau	7
parofita	7
kila	7
tolu	7
lima	7
d	7
mate	7
wilika	7
iratou	7
duabau	7
barbus	6
vakavuvulitaka	6
tukuna	6
duadua	6
and	6
soli	6
jiova	6
erau	6
cars	6
veikau	6
vinaka	6
veisau	6
siga	6
katolika	6
valavala	6
yani	6
ivolatabu	6
makawa	6
lewe	6
cava	6
kilai	6
vakalotu	5
beka	5
vata	5
roma	5
edaidai	5
jerusalemi	5
kunei	5
vale	5
la	5
mana	5
music	5
loma	5
yalododonu	5
poland	5
tavua	5
veiliutaki	5
lomalagi	5
vakayagataka	5
vunau	5
palisitaina	5
walega	5
veiqaravi	5
lewa	5
kadavu	5
rio	5
rauta	5
chile	5
masu	5
dou	5
liutaki	5
vakatokai	5
ivunau	5
bale	5
bebe	5
iko	5
nifai	4
malolo	4
tukutuku-vinaka	4
oneness	4
vakaturaga	4
vakapenitiko	4
kenai	4
lailai	4
muri	4
kecega	4
cavuti	4
victoriae	4
oqori	4
movement	4
yawa	4
paulo	4
iapositolo	4
lewena	4
nanuma	4
ulunivanua	4
rusi	4
oti	4
keda	4
movie	4
b.k	4
toso	4
sk	4
cyphosperma	4
vuku	4
star	4
as	4
cakaudrove	4
tani	4
cynometra	4
cakava	4
maroroi	4
matai	4
de	4
kaya	4
voli	4
veimataqali	4
simici—ai	4
vakasama	4
matabete	4
in	4
taumada	4
vakavulici	4
qasenivuli	4
pentecostalism	4
lesu	4
do	4
kaukauwa	4
são	4
vietnam	4
wili	4
rairai	4
mosese	4
calophyllum	4
vakavalagi	3
vakadidike	3
perisia	3
national	3
voleka	3
ratou	3
musa	3
cowdery	3
ruku	3
kemudou	3
vo	3
vakadinadinataka	3
taqomaki	3
ono	3
veigauna	3
liutaka	3
venezuela	3
univesiti	3
koroturaga	3
bokini	3
jaina	3
drau	3
milioni	3
yago	3
papiloni	3
qaravi	3
tabana	3
taoni	3
joni	3
eratou	3
janeiro	3
vakaoqo	3
vakayacora	3
sir	3
ramurface	3
matata	3
kioa	3
savusavu	3
toka	3
veipapitaisotaki	3
peresitedi	3
loloma	3
kacivi	3
ba	3
niusiladi	3
veivukei	3
ivakavuvuli	3
kalavo	3
madagasikar	3
penaia	3
lautoka	3
cei	3
veimama	3
gonevuli	3
savasava	3
oliver	3
matalotu	3
vaka-viti	3
ganilau	3
ovini	3
kedrau	3
otioti	3
mani	3
okati	3
spp	3
koronivuli	3
yavusa	3
kosipeli	3
vakalevu	3
kedra	3
kece	3
cavu	3
cavuta	3
suva	3
vakamacalataka	3
olive	3
vakatakila	3
vakalomalagi	3
lasu	3
yaga	3
yadua	3
church	3
koto	3
virescens	3
john	3
wai	3
cakau	3
eda	3
ne	3
lako	3
vakabulai	3
luvena	3
udolu	3
caka	3
fiji	3
okoladi	3
partim	3
berlin	3
tamana	3
reba	3
bahia	3
tauyavutaka	3
veivutuni	3
ei	3
caranx	3
kevaka	3
vakavuvuli	3
taukei	3
maliwa	3
kaboni	3
vakavuna	3
tauni	3
papitaisotaki	3
vakairau	3
storckii	3
veiyabaki	3
jiuta	3
denominations	3
veivakavulici	3
veisaqasaqa	3
paula	3
michael	3
coronel	2
kauvakavesu	2
caesar	2
uruguaiana	2
qasikalolo	2
tokalau	2
guy	2
saunaka	2
lelevu	2
vakadewataki	2
kanacea	2
kadavu”	2
lala	2
pallidiflorum	2
ronald	2
amplexicaulis	2
reagan	2
jackson	2
atuna	2
antananarivo	2
kasiense	2
barringtonia	2
vakatekivu	2
duaduaga	2
fulaga	2
yaubula	2
yalalevu	2
navala	2
stary	2
tinikaciwa	2
iliuliu	2
macranthum	2
bera	2
calvin	2
naitaba	2
dravuni	2
savu	2
kauti	2
hoi	2
vuna	2
mago	2
namatakula	2
naki	2
veikoro	2
vakacacani	2
viseisei	2
clinostigma	2
lakolako	2
n	2
tauri	2
lauwaki	2
saratov	2
simpsons	2
insularis	2
doors	2
short	2
syzygium	2
vakacecegu	2
vakataka	2
buenos	2
ciwa	2
or	2
chi	2
kasaledamu	2
alegre	2
kasirara	2
koi	2
tauyavutaki	2
vica	2
ya	2
diospyros	2
vunikavikaloa	2
megascops	2
leleuvia	2
longirostris	2
wasewase	2
dalo	2
banovci	2
levuka	2
parrii	2
vudi	2
vuvundi	2
vung	2
veisorovaki	2
vakaitikotiko	2
jesus	2
maciu	2
amerika	2
gogo	2
ˈyːtɐzən	2
also	2
ulavi	2
usa	2
